zona,MAE,RMSE,R2
agrupado_001_ZW Parque Ingenio-test,0.925326326088477,1.37360185413912,0.3112318946894358
agrupado_002_ZW Canchas Panamericanas-test,1.5145441100168404,2.7783252116576644,0.3163196659352594
agrupado_003_ZW Parque del Perro-test,0.8945732767390018,1.098940496201302,-0.3765576153538348
agrupado_004_ZW Parque San Nicolas-test,1.4529095083775077,1.7706650212409811,-0.9300190154038799
agrupado_005_ZW Parque Barrio Obrero-test,1.3688420774122414,1.482041218615223,-3.2990268761785906
agrupado_006_ZW Parque Vallado-test,1.0211915368344358,1.267395252019052,0.21667906131399162
agrupado_007_ZW Parque Pizamos-test,0.12061885676171606,0.14481464088047658,0.9381254172850146
agrupado_008_ZW Parque Alfonso Lopez-test,1.979156229505314,3.0825309413873776,-0.008231649824824716
agrupado_009_ZW Polideportivo Los Almendros-test,0.14600160775709517,0.17416452034296384,0.8291186260686174
agrupado_010_ZW Parque Antonio Nariño-test,1.2316964711701484,1.9349561272467255,-0.06979970389451817
agrupado_011_ZW Parque Santa Rosa Poblado-test,5.293812692623299,8.01352671575303,0.1974477117192972
agrupado_012_ZW Polideportivo Los Naranjos-test,0.961880359802725,1.3345958166424858,0.019341966485902584
agrupado_013_ZW Parque Llano Verde-test,0.6972742725326153,0.8877876166079822,0.02370511875488024
agrupado_014_ZW Centro Cultural Alto Jordan-test,0.6470879520514121,0.8234367477562582,-0.34112826115036077
agrupado_015_ZW Centro Cultural Comuna 13-test,0.4721183318078845,0.7230309045117252,0.21489382768242105
agrupado_016_ZW Conjunto Habitacional Ramali-test,0.9359310947325311,1.1310594342841,0.5006181718471605
agrupado_017_ZW Conjunto Habitacional Rio Cauca-test,3.121648687369479,4.395790739450456,0.26228504625396054
agrupado_018_ZW Parque Las Banderas-test,0.9623218876738534,1.5583147163238507,0.17069802735227224
agrupado_019_ZW Parque Skate Board-test,1.135099438305529,1.2636976454187048,-0.7229574437129562
agrupado_020_ZW Parque Petecuy1-test,0.6992419826304842,0.7780656210723875,-0.533186895967942
agrupado_021_ZW Parque Alfonso Barberena-test,1.7167630807728333,2.002274132033123,-0.29091096428327434
agrupado_022_ZW Polideportivo Los Farallones-test,1.083178048780817,1.6698438197586092,0.3591664606704482
agrupado_023_ZW Parque Los Guerreros-test,2.548262310933777,3.2726939766384766,-0.2434534299776676
agrupado_024_ZW Museo La Tertualia-test,0.8458010737862208,1.0333394865956975,-0.22463590745785234
agrupado_025_ZW Parque San Marino-test,0.5461199864162511,0.9192638242586111,0.24032186160642965
agrupado_026_ZW Parque La Flora-test,0.7462768735596209,0.9012667026284898,-0.3154139498710695
agrupado_027_ZW Parque Alfonso Bonilla Aragón-test,1.3790116546995899,1.6213475420366033,-0.11986928481460346
agrupado_028_ZW Parque Yo Amo a Siloe-test,0.587086098883903,0.6603310204201158,-0.787619935872568
agrupado_029_ZW Centro Cultural Vista Hermosa-test,0.6313967829793711,0.7319235868643579,-0.35143400919311607
agrupado_030_ZW Parque Mutis-test,7.309011941450742,10.698457907724283,0.250471202830736
agrupado_031_ZW Cancha Los Azules-test,1.6621127356309178,2.2795286561353447,-0.22614187051239343
agrupado_032_ZW Paque La Orqueta-test,0.9040109375906115,1.067920982441109,-0.08289908282477776
agrupado_033_ZW Plaza Alameda-test,0.6406274249292091,0.7543677351264861,0.12769877707118094
agrupado_034_ZW Parque Villa Colombia-test,0.5847421838327719,1.1681017257463167,0.31507495101219585
agrupado_035_ZW Parque Colseguros-test,0.9083831629024094,1.0492180677630074,-0.5757084979114795
agrupado_036_ZW Parque India Elena-test,4.138067435308912,5.159011093239677,0.0914481640246525
agrupado_037_ZW Parque Tequendama-test,1.4531626499497652,2.1134119207069975,-0.037026755867092254
agrupado_038_ZW Parque Sector Amarillo Skate Park-test,0.7302896150056529,0.8553437306531045,-0.021787906723396366
agrupado_039_ZW Biblioteca Daniel Guillard-test,0.9918724640888336,1.2039050646285567,-0.5365258836144133
agrupado_040_ZW Polideportivo Torres Comfandi-test,0.5389385787985135,0.6312640352084808,0.45388994328222765
agrupado_041_ZW Parque Junin-test,1.517487518326841,1.7746727468547914,-0.08187064254966758
agrupado_042_ZW Parque Mariano Ramos-test,2.1068539176220864,2.606972350373811,-0.21566094208328002
agrupado_043_ZW Polideportivo Ricardo Balcazar-test,1.729775083876848,2.6140041111256265,-0.11398850537869598
agrupado_044_ZW Polideportivo San Benito-test,0.6001697247393619,0.7629590851618613,0.2144238211672581
agrupado_045_ZW Parque Santa Anita-test,1.3481447071283836,1.5877296424047362,-1.098039848591767
agrupado_046_ZW Sebastian Belalcazar-test,0.6946284543469461,0.8914902752203321,-0.12001071156749865
agrupado_047_ZW Parque del Mico-test,4.293533566772693,6.12633779276282,-0.2127357202041127
agrupado_048_ZW Parque Cien Palos-test,1.1866107055600732,1.6506589967431127,0.38740426988072607
agrupado_049_ZW Cerro 3 Cruces-test,1.3733237892855328,2.376823635033453,0.5354785122943024
agrupado_050_ZW Parque Calima-test,2.1550457646172854,2.8074398676848125,0.03955088825980757
agrupado_051_ZW Parque La Mecerd-test,1.0457752337163546,1.425215851751118,-0.18615898690424415
agrupado_052_ZW Puente de Colores-test,2.0321460540187597,2.813407858349566,-0.220891391857579
agrupado_053_ZW Polideportivo Laureano Gomez-test,1.3481668545148253,1.8811830893355417,-0.22657615214681592
agrupado_054_ZW El Diamante-test,0.8717121250387888,1.1718272930956466,0.18334873238115823
agrupado_055_ZW Polideportivo Petecuy-test,23.95961229096567,27.242704059227858,-2.9400239993323654
agrupado_056_ZW Comuna 16-test,2.1470832362628083,3.115623269652681,0.2269007285783884
agrupado_057_La Castilla-test,0.5753375152326512,1.417702432009744,0.25698729767788475
agrupado_058_La Elvira-test,0.8203783171274249,1.3373953015489708,0.16758247132231896
agrupado_059_El Saladito-test,0.47156136934832316,0.6600115393188823,0.32138604284232974
agrupado_060_Felidia-test,2.0557402162364085,2.660532655371685,-0.9504240890439142
agrupado_061_La Leonera-test,0.3491728206990536,0.42682380087967114,0.020399337088057856
agrupado_062_Pichinde-test,0.9954057934587215,1.5258042097331412,0.6574004945849297
agrupado_063_Los Andes-test,0.6034254728977306,0.8904681240330056,0.03478296027048888
